Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
1654869581.1029506,37872,1654869581,101116665,imu_link,-9.719708032207564e-06,7.665891462238505e-05,-6.347391899907961e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.1134255,37873,1654869581,111115341,imu_link,-1.2280669579922687e-05,7.731052028248087e-05,-6.222755473572761e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.12357,37874,1654869581,121112165,imu_link,-1.2280669579922687e-05,7.731052028248087e-05,-6.222755473572761e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.1330225,37875,1654869581,131110526,imu_link,-7.554943294962868e-06,7.680858834646642e-05,-6.358744576573372e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.142896,37876,1654869581,141111369,imu_link,-1.1259444363531657e-05,7.74488944443874e-05,-6.224864773685113e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.1531503,37877,1654869581,151127433,imu_link,-1.1224571608181577e-05,7.711845682933927e-05,-6.266379205044359e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.1635003,37878,1654869581,161143869,imu_link,-4.471310603548773e-06,7.678319525439292e-05,-6.390890484908596e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.174165,37879,1654869581,171110970,imu_link,-4.471310603548773e-06,7.678319525439292e-05,-6.390890484908596e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.1829112,37880,1654869581,181108554,imu_link,-6.916392521816306e-06,7.624116551596671e-05,-6.433853559428826e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.193821,37881,1654869581,191113192,imu_link,-4.8508832151128445e-06,7.629863830516115e-05,-6.445919279940426e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.2028568,37882,1654869581,201112424,imu_link,1.6128505819779093e-07,7.773940888000652e-05,-6.290117744356394e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.213442,37883,1654869581,211105489,imu_link,9.793907338462304e-07,7.704541349085048e-05,-6.374201620928943e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.223616,37884,1654869581,221107609,imu_link,9.793907338462304e-07,7.704541349085048e-05,-6.374201620928943e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.2347994,37885,1654869581,231328859,imu_link,1.432037151971599e-06,7.963717507664114e-05,-6.046379348845221e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.2432415,37886,1654869581,241117090,imu_link,4.064629592903657e-06,7.745804032310843e-05,-6.311679317150265e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
